Enter the population of the system:- Enter the total time of simulation:- Enter the distance matrix:-
1
2
3
4
5
6
Enter buffer size of each node:- 
1 = 2 = 3 = 4 = 5 = 6 = Enter number of source nodes:- Source: 1 Destination: 4
Source: 2 Destination: 0
Action	time	pktId	Src	Des	Cur	NH	State
a	0.01	1	1	4	1	2	S
-	0.01	1	1	4	1	2	S
a	0.01	1	2	0	2	1	S
-	0.01	1	2	0	2	1	S
+	0.015	1	1	4	2	4	S
+	0.015	1	2	0	1	3	S
-	0.015	1	2	0	1	3	S
-	0.015	1	1	4	2	4	S
+	0.02	0	2	0	3	0	S
r	0.02	0	1	4	4	4	S
a	0.02	2	1	4	1	2	S
-	0.02	2	1	4	1	2	S
a	0.02	2	2	0	2	1	S
-	0.02	2	2	0	2	1	S
+	0.025	2	1	4	2	4	S
+	0.025	2	2	0	1	3	S
-	0.025	2	2	0	1	3	S
-	0.025	2	1	4	2	4	S
-	0.025	0	2	0	3	0	S
+	0.03	0	2	0	3	0	S
r	0.03	0	1	4	4	4	S
r	0.03	0	2	0	0	0	S
a	0.03	3	1	4	1	2	S
-	0.03	3	1	4	1	2	S
a	0.03	3	2	0	2	1	S
-	0.03	3	2	0	2	1	S
+	0.035	3	1	4	2	4	S
+	0.035	3	2	0	1	3	S
-	0.035	3	2	0	1	3	S
-	0.035	3	1	4	2	4	S
-	0.035	0	2	0	3	0	S
+	0.04	0	2	0	3	0	S
r	0.04	0	1	4	4	4	S
r	0.04	0	2	0	0	0	S
a	0.04	4	1	4	1	2	S
-	0.04	4	1	4	1	2	S
a	0.04	4	2	0	2	1	S
-	0.04	4	2	0	2	1	S
+	0.045	4	1	4	2	4	S
+	0.045	4	2	0	1	3	S
-	0.045	4	2	0	1	3	S
-	0.045	4	1	4	2	4	S
-	0.045	0	2	0	3	0	S
+	0.05	0	2	0	3	0	S
r	0.05	0	1	4	4	4	S
r	0.05	0	2	0	0	0	S
a	0.05	5	1	4	1	2	S
-	0.05	5	1	4	1	2	S
a	0.05	5	2	0	2	1	S
-	0.05	5	2	0	2	1	S
+	0.055	5	1	4	2	4	S
+	0.055	5	2	0	1	3	S
-	0.055	5	2	0	1	3	S
-	0.055	5	1	4	2	4	S
-	0.055	0	2	0	3	0	S
+	0.06	0	2	0	3	0	S
r	0.06	0	1	4	4	4	S
r	0.06	0	2	0	0	0	S
a	0.06	6	1	4	1	2	S
-	0.06	6	1	4	1	2	S
a	0.06	6	2	0	2	1	S
-	0.06	6	2	0	2	1	S
+	0.065	6	1	4	2	4	S
+	0.065	6	2	0	1	3	S
-	0.065	6	2	0	1	3	S
-	0.065	6	1	4	2	4	S
-	0.065	0	2	0	3	0	S
+	0.07	0	2	0	3	0	S
r	0.07	0	1	4	4	4	S
r	0.07	0	2	0	0	0	S
a	0.07	7	1	4	1	2	S
-	0.07	7	1	4	1	2	S
a	0.07	7	2	0	2	1	S
-	0.07	7	2	0	2	1	S
+	0.075	7	1	4	2	4	S
+	0.075	7	2	0	1	3	S
-	0.075	7	2	0	1	3	S
-	0.075	7	1	4	2	4	S
-	0.075	0	2	0	3	0	S
+	0.08	0	2	0	3	0	S
r	0.08	0	1	4	4	4	S
r	0.08	0	2	0	0	0	S
a	0.08	8	1	4	1	2	S
-	0.08	8	1	4	1	2	S
a	0.08	8	2	0	2	1	S
-	0.08	8	2	0	2	1	S
+	0.085	8	1	4	2	4	S
+	0.085	8	2	0	1	3	S
-	0.085	8	2	0	1	3	S
-	0.085	8	1	4	2	4	S
-	0.085	0	2	0	3	0	S
+	0.09	0	2	0	3	0	S
r	0.09	0	1	4	4	4	S
r	0.09	0	2	0	0	0	S
a	0.09	9	1	4	1	2	S
-	0.09	9	1	4	1	2	S
a	0.09	9	2	0	2	1	S
-	0.09	9	2	0	2	1	S
+	0.095	9	1	4	2	4	S
+	0.095	9	2	0	1	3	S
-	0.095	9	2	0	1	3	S
-	0.095	9	1	4	2	4	S
-	0.095	0	2	0	3	0	S
+	0.1	0	2	0	3	0	S
r	0.1	0	1	4	4	4	S
r	0.1	0	2	0	0	0	S
a	0.1	10	1	4	1	2	S
-	0.1	10	1	4	1	2	S
a	0.1	10	2	0	2	1	S
-	0.1	10	2	0	2	1	S
+	0.105	10	1	4	2	4	S
+	0.105	10	2	0	1	3	S
-	0.105	10	2	0	1	3	S
-	0.105	10	1	4	2	4	S
-	0.105	0	2	0	3	0	S
+	0.11	0	2	0	3	0	S
r	0.11	0	1	4	4	4	S
r	0.11	0	2	0	0	0	S
a	0.11	11	1	4	1	2	S
-	0.11	11	1	4	1	2	S
a	0.11	11	2	0	2	1	S
-	0.11	11	2	0	2	1	S
+	0.115	11	1	4	2	4	S
+	0.115	11	2	0	1	3	S
-	0.115	11	2	0	1	3	S
-	0.115	11	1	4	2	4	S
-	0.115	0	2	0	3	0	S
+	0.12	0	2	0	3	0	S
r	0.12	0	1	4	4	4	S
r	0.12	0	2	0	0	0	S
a	0.12	12	1	4	1	2	S
-	0.12	12	1	4	1	2	S
a	0.12	12	2	0	2	1	S
-	0.12	12	2	0	2	1	S
+	0.125	12	1	4	2	4	S
+	0.125	12	2	0	1	3	S
-	0.125	12	2	0	1	3	S
-	0.125	12	1	4	2	4	S
-	0.125	0	2	0	3	0	S
+	0.13	0	2	0	3	0	S
r	0.13	0	1	4	4	4	S
r	0.13	0	2	0	0	0	S
a	0.13	13	1	4	1	2	S
-	0.13	13	1	4	1	2	S
a	0.13	13	2	0	2	1	S
-	0.13	13	2	0	2	1	S
+	0.135	13	1	4	2	4	S
+	0.135	13	2	0	1	3	S
-	0.135	13	2	0	1	3	S
-	0.135	13	1	4	2	4	S
-	0.135	0	2	0	3	0	S
+	0.14	0	2	0	3	0	S
r	0.14	0	1	4	4	4	S
r	0.14	0	2	0	0	0	S
a	0.14	14	1	4	1	2	S
-	0.14	14	1	4	1	2	S
a	0.14	14	2	0	2	1	S
-	0.14	14	2	0	2	1	S
+	0.145	14	1	4	2	4	S
+	0.145	14	2	0	1	3	S
-	0.145	14	2	0	1	3	S
-	0.145	14	1	4	2	4	S
-	0.145	0	2	0	3	0	S
+	0.15	0	2	0	3	0	S
r	0.15	0	1	4	4	4	S
r	0.15	0	2	0	0	0	S
a	0.15	15	1	4	1	2	S
-	0.15	15	1	4	1	2	S
a	0.15	15	2	0	2	1	S
-	0.15	15	2	0	2	1	S
+	0.155	15	1	4	2	4	S
+	0.155	15	2	0	1	3	S
-	0.155	15	2	0	1	3	S
-	0.155	15	1	4	2	4	S
-	0.155	0	2	0	3	0	S
+	0.16	0	2	0	3	0	S
r	0.16	0	1	4	4	4	S
r	0.16	0	2	0	0	0	S
a	0.16	16	1	4	1	2	S
-	0.16	16	1	4	1	2	S
a	0.16	16	2	0	2	1	S
-	0.16	16	2	0	2	1	S
+	0.165	16	1	4	2	4	S
+	0.165	16	2	0	1	3	S
-	0.165	16	2	0	1	3	S
-	0.165	16	1	4	2	4	S
-	0.165	0	2	0	3	0	S
+	0.17	0	2	0	3	0	S
r	0.17	0	1	4	4	4	S
r	0.17	0	2	0	0	0	S
a	0.17	17	1	4	1	2	S
-	0.17	17	1	4	1	2	S
a	0.17	17	2	0	2	1	S
-	0.17	17	2	0	2	1	S
+	0.175	17	1	4	2	4	S
+	0.175	17	2	0	1	3	S
-	0.175	17	2	0	1	3	S
-	0.175	17	1	4	2	4	S
-	0.175	0	2	0	3	0	S
+	0.18	0	2	0	3	0	S
r	0.18	0	1	4	4	4	S
r	0.18	0	2	0	0	0	S
a	0.18	18	1	4	1	2	S
-	0.18	18	1	4	1	2	S
a	0.18	18	2	0	2	1	S
-	0.18	18	2	0	2	1	S
+	0.185	18	1	4	2	4	S
+	0.185	18	2	0	1	3	S
-	0.185	18	2	0	1	3	S
-	0.185	18	1	4	2	4	S
-	0.185	0	2	0	3	0	S
+	0.19	0	2	0	3	0	S
r	0.19	0	1	4	4	4	S
r	0.19	0	2	0	0	0	S
a	0.19	19	1	4	1	2	S
-	0.19	19	1	4	1	2	S
a	0.19	19	2	0	2	1	S
-	0.19	19	2	0	2	1	S
+	0.195	19	1	4	2	4	S
+	0.195	19	2	0	1	3	S
-	0.195	19	2	0	1	3	S
-	0.195	19	1	4	2	4	S
-	0.195	0	2	0	3	0	S
+	0.2	0	2	0	3	0	S
r	0.2	0	1	4	4	4	S
r	0.2	0	2	0	0	0	S
a	0.2	20	1	4	1	2	S
-	0.2	20	1	4	1	2	S
a	0.2	20	2	0	2	1	S
-	0.2	20	2	0	2	1	S
+	0.205	20	1	4	2	4	S
+	0.205	20	2	0	1	3	S
-	0.205	20	2	0	1	3	S
-	0.205	20	1	4	2	4	S
-	0.205	0	2	0	3	0	S
+	0.21	0	2	0	3	0	S
r	0.21	0	1	4	4	4	S
r	0.21	0	2	0	0	0	S
a	0.21	21	1	4	1	2	S
-	0.21	21	1	4	1	2	S
a	0.21	21	2	0	2	1	S
-	0.21	21	2	0	2	1	S
+	0.215	21	1	4	2	4	S
+	0.215	21	2	0	1	3	S
-	0.215	21	2	0	1	3	S
-	0.215	21	1	4	2	4	S
-	0.215	0	2	0	3	0	S
+	0.22	0	2	0	3	0	S
r	0.22	0	1	4	4	4	S
r	0.22	0	2	0	0	0	S
a	0.22	22	1	4	1	2	S
-	0.22	22	1	4	1	2	S
a	0.22	22	2	0	2	1	S
-	0.22	22	2	0	2	1	S
+	0.225	22	1	4	2	4	S
+	0.225	22	2	0	1	3	S
-	0.225	22	2	0	1	3	S
-	0.225	22	1	4	2	4	S
-	0.225	0	2	0	3	0	S
+	0.23	0	2	0	3	0	S
r	0.23	0	1	4	4	4	S
r	0.23	0	2	0	0	0	S
a	0.23	23	1	4	1	2	S
-	0.23	23	1	4	1	2	S
a	0.23	23	2	0	2	1	S
-	0.23	23	2	0	2	1	S
+	0.235	23	1	4	2	4	S
+	0.235	23	2	0	1	3	S
-	0.235	23	2	0	1	3	S
-	0.235	23	1	4	2	4	S
-	0.235	0	2	0	3	0	S
+	0.24	0	2	0	3	0	S
r	0.24	0	1	4	4	4	S
r	0.24	0	2	0	0	0	S
a	0.24	24	1	4	1	2	S
-	0.24	24	1	4	1	2	S
a	0.24	24	2	0	2	1	S
-	0.24	24	2	0	2	1	S
+	0.245	24	1	4	2	4	S
+	0.245	24	2	0	1	3	S
-	0.245	24	2	0	1	3	S
-	0.245	24	1	4	2	4	S
-	0.245	0	2	0	3	0	S
+	0.25	0	2	0	3	0	S
r	0.25	0	1	4	4	4	S
r	0.25	0	2	0	0	0	S
a	0.25	25	1	4	1	2	S
-	0.25	25	1	4	1	2	S
a	0.25	25	2	0	2	1	S
-	0.25	25	2	0	2	1	S
+	0.255	25	1	4	2	4	S
+	0.255	25	2	0	1	3	S
-	0.255	25	2	0	1	3	S
-	0.255	25	1	4	2	4	S
-	0.255	0	2	0	3	0	S
+	0.26	0	2	0	3	0	S
r	0.26	0	1	4	4	4	S
r	0.26	0	2	0	0	0	S
a	0.26	26	1	4	1	2	S
-	0.26	26	1	4	1	2	S
a	0.26	26	2	0	2	1	S
-	0.26	26	2	0	2	1	S
+	0.265	26	1	4	2	4	S
+	0.265	26	2	0	1	3	S
-	0.265	26	2	0	1	3	S
-	0.265	26	1	4	2	4	S
-	0.265	0	2	0	3	0	S
+	0.27	0	2	0	3	0	S
r	0.27	0	1	4	4	4	S
r	0.27	0	2	0	0	0	S
a	0.27	27	1	4	1	2	S
-	0.27	27	1	4	1	2	S
a	0.27	27	2	0	2	1	S
-	0.27	27	2	0	2	1	S
+	0.275	27	1	4	2	4	S
+	0.275	27	2	0	1	3	S
-	0.275	27	2	0	1	3	S
-	0.275	27	1	4	2	4	S
-	0.275	0	2	0	3	0	S
+	0.28	0	2	0	3	0	S
r	0.28	0	1	4	4	4	S
r	0.28	0	2	0	0	0	S
a	0.28	28	1	4	1	2	S
-	0.28	28	1	4	1	2	S
a	0.28	28	2	0	2	1	S
-	0.28	28	2	0	2	1	S
+	0.285	28	1	4	2	4	S
+	0.285	28	2	0	1	3	S
-	0.285	28	2	0	1	3	S
-	0.285	28	1	4	2	4	S
-	0.285	0	2	0	3	0	S
+	0.29	0	2	0	3	0	S
r	0.29	0	1	4	4	4	S
r	0.29	0	2	0	0	0	S
a	0.29	29	1	4	1	2	S
-	0.29	29	1	4	1	2	S
a	0.29	29	2	0	2	1	S
-	0.29	29	2	0	2	1	S
+	0.295	29	1	4	2	4	S
+	0.295	29	2	0	1	3	S
-	0.295	29	2	0	1	3	S
-	0.295	29	1	4	2	4	S
-	0.295	0	2	0	3	0	S
+	0.3	0	2	0	3	0	S
r	0.3	0	1	4	4	4	S
r	0.3	0	2	0	0	0	S
a	0.3	30	1	4	1	2	S
-	0.3	30	1	4	1	2	S
a	0.3	30	2	0	2	1	S
-	0.3	30	2	0	2	1	S
+	0.305	30	1	4	2	4	S
+	0.305	30	2	0	1	3	S
-	0.305	30	2	0	1	3	S
-	0.305	30	1	4	2	4	S
-	0.305	0	2	0	3	0	S
+	0.31	0	2	0	3	0	S
r	0.31	0	1	4	4	4	S
r	0.31	0	2	0	0	0	S
a	0.31	31	1	4	1	2	S
-	0.31	31	1	4	1	2	S
a	0.31	31	2	0	2	1	S
-	0.31	31	2	0	2	1	S
+	0.315	31	1	4	2	4	S
+	0.315	31	2	0	1	3	S
-	0.315	31	2	0	1	3	S
-	0.315	31	1	4	2	4	S
-	0.315	0	2	0	3	0	S
+	0.32	0	2	0	3	0	S
r	0.32	0	1	4	4	4	S
r	0.32	0	2	0	0	0	S
a	0.32	32	1	4	1	2	S
-	0.32	32	1	4	1	2	S
a	0.32	32	2	0	2	1	S
-	0.32	32	2	0	2	1	S
+	0.325	32	1	4	2	4	S
+	0.325	32	2	0	1	3	S
-	0.325	32	2	0	1	3	S
-	0.325	32	1	4	2	4	S
-	0.325	0	2	0	3	0	S
+	0.33	0	2	0	3	0	S
r	0.33	0	1	4	4	4	S
r	0.33	0	2	0	0	0	S
a	0.33	33	1	4	1	2	S
-	0.33	33	1	4	1	2	S
a	0.33	33	2	0	2	1	S
-	0.33	33	2	0	2	1	S
+	0.335	33	1	4	2	4	S
+	0.335	33	2	0	1	3	S
-	0.335	33	2	0	1	3	S
-	0.335	33	1	4	2	4	S
-	0.335	0	2	0	3	0	S
+	0.34	0	2	0	3	0	S
r	0.34	0	1	4	4	4	S
r	0.34	0	2	0	0	0	S
a	0.34	34	1	4	1	2	S
-	0.34	34	1	4	1	2	S
a	0.34	34	2	0	2	1	S
-	0.34	34	2	0	2	1	S
+	0.345	34	1	4	2	4	S
+	0.345	34	2	0	1	3	S
-	0.345	34	2	0	1	3	S
-	0.345	34	1	4	2	4	S
-	0.345	0	2	0	3	0	S
+	0.35	0	2	0	3	0	S
r	0.35	0	1	4	4	4	S
r	0.35	0	2	0	0	0	S
a	0.35	35	1	4	1	2	S
-	0.35	35	1	4	1	2	S
a	0.35	35	2	0	2	1	S
-	0.35	35	2	0	2	1	S
+	0.355	35	1	4	2	4	S
+	0.355	35	2	0	1	3	S
-	0.355	35	2	0	1	3	S
-	0.355	35	1	4	2	4	S
-	0.355	0	2	0	3	0	S
+	0.36	0	2	0	3	0	S
r	0.36	0	1	4	4	4	S
r	0.36	0	2	0	0	0	S
a	0.36	36	1	4	1	2	S
-	0.36	36	1	4	1	2	S
a	0.36	36	2	0	2	1	S
-	0.36	36	2	0	2	1	S
+	0.365	36	1	4	2	4	S
+	0.365	36	2	0	1	3	S
-	0.365	36	2	0	1	3	S
-	0.365	36	1	4	2	4	S
-	0.365	0	2	0	3	0	S
+	0.37	0	2	0	3	0	S
r	0.37	0	1	4	4	4	S
r	0.37	0	2	0	0	0	S
a	0.37	37	1	4	1	2	S
-	0.37	37	1	4	1	2	S
a	0.37	37	2	0	2	1	S
-	0.37	37	2	0	2	1	S
+	0.375	37	1	4	2	4	S
+	0.375	37	2	0	1	3	S
-	0.375	37	2	0	1	3	S
-	0.375	37	1	4	2	4	S
-	0.375	0	2	0	3	0	S
+	0.38	0	2	0	3	0	S
r	0.38	0	1	4	4	4	S
r	0.38	0	2	0	0	0	S
a	0.38	38	1	4	1	2	S
-	0.38	38	1	4	1	2	S
a	0.38	38	2	0	2	1	S
-	0.38	38	2	0	2	1	S
+	0.385	38	1	4	2	4	S
+	0.385	38	2	0	1	3	S
-	0.385	38	2	0	1	3	S
-	0.385	38	1	4	2	4	S
-	0.385	0	2	0	3	0	S
+	0.39	0	2	0	3	0	S
r	0.39	0	1	4	4	4	S
r	0.39	0	2	0	0	0	S
a	0.39	39	1	4	1	2	S
-	0.39	39	1	4	1	2	S
a	0.39	39	2	0	2	1	S
-	0.39	39	2	0	2	1	S
+	0.395	39	1	4	2	4	S
+	0.395	39	2	0	1	3	S
-	0.395	39	2	0	1	3	S
-	0.395	39	1	4	2	4	S
-	0.395	0	2	0	3	0	S
+	0.4	0	2	0	3	0	S
r	0.4	0	1	4	4	4	S
r	0.4	0	2	0	0	0	S
a	0.4	40	1	4	1	2	S
-	0.4	40	1	4	1	2	S
a	0.4	40	2	0	2	1	S
-	0.4	40	2	0	2	1	S
+	0.405	40	1	4	2	4	S
+	0.405	40	2	0	1	3	S
-	0.405	40	2	0	1	3	S
-	0.405	40	1	4	2	4	S
-	0.405	0	2	0	3	0	S
+	0.41	0	2	0	3	0	S
r	0.41	0	1	4	4	4	S
r	0.41	0	2	0	0	0	S
a	0.41	41	1	4	1	2	S
-	0.41	41	1	4	1	2	S
a	0.41	41	2	0	2	1	S
-	0.41	41	2	0	2	1	S
+	0.415	41	1	4	2	4	S
+	0.415	41	2	0	1	3	S
-	0.415	41	2	0	1	3	S
-	0.415	41	1	4	2	4	S
-	0.415	0	2	0	3	0	S
+	0.42	0	2	0	3	0	S
r	0.42	0	1	4	4	4	S
r	0.42	0	2	0	0	0	S
a	0.42	42	1	4	1	2	S
-	0.42	42	1	4	1	2	S
a	0.42	42	2	0	2	1	S
-	0.42	42	2	0	2	1	S
+	0.425	42	1	4	2	4	S
+	0.425	42	2	0	1	3	S
-	0.425	42	2	0	1	3	S
-	0.425	42	1	4	2	4	S
-	0.425	0	2	0	3	0	S
+	0.43	0	2	0	3	0	S
r	0.43	0	1	4	4	4	S
r	0.43	0	2	0	0	0	S
a	0.43	43	1	4	1	2	S
-	0.43	43	1	4	1	2	S
a	0.43	43	2	0	2	1	S
-	0.43	43	2	0	2	1	S
+	0.435	43	1	4	2	4	S
+	0.435	43	2	0	1	3	S
-	0.435	43	2	0	1	3	S
-	0.435	43	1	4	2	4	S
-	0.435	0	2	0	3	0	S
+	0.44	0	2	0	3	0	S
r	0.44	0	1	4	4	4	S
r	0.44	0	2	0	0	0	S
a	0.44	44	1	4	1	2	S
-	0.44	44	1	4	1	2	S
a	0.44	44	2	0	2	1	S
-	0.44	44	2	0	2	1	S
+	0.445	44	1	4	2	4	S
+	0.445	44	2	0	1	3	S
-	0.445	44	2	0	1	3	S
-	0.445	44	1	4	2	4	S
-	0.445	0	2	0	3	0	S
+	0.45	0	2	0	3	0	S
r	0.45	0	1	4	4	4	S
r	0.45	0	2	0	0	0	S
a	0.45	45	1	4	1	2	S
-	0.45	45	1	4	1	2	S
a	0.45	45	2	0	2	1	S
-	0.45	45	2	0	2	1	S
+	0.455	45	1	4	2	4	S
+	0.455	45	2	0	1	3	S
-	0.455	45	2	0	1	3	S
-	0.455	45	1	4	2	4	S
-	0.455	0	2	0	3	0	S
+	0.46	0	2	0	3	0	S
r	0.46	0	1	4	4	4	S
r	0.46	0	2	0	0	0	S
a	0.46	46	1	4	1	2	S
-	0.46	46	1	4	1	2	S
a	0.46	46	2	0	2	1	S
-	0.46	46	2	0	2	1	S
+	0.465	46	1	4	2	4	S
+	0.465	46	2	0	1	3	S
-	0.465	46	2	0	1	3	S
-	0.465	46	1	4	2	4	S
-	0.465	0	2	0	3	0	S
+	0.47	0	2	0	3	0	S
r	0.47	0	1	4	4	4	S
r	0.47	0	2	0	0	0	S
a	0.47	47	1	4	1	2	S
-	0.47	47	1	4	1	2	S
a	0.47	47	2	0	2	1	S
-	0.47	47	2	0	2	1	S
+	0.475	47	1	4	2	4	S
+	0.475	47	2	0	1	3	S
-	0.475	47	2	0	1	3	S
-	0.475	47	1	4	2	4	S
-	0.475	0	2	0	3	0	S
+	0.48	0	2	0	3	0	S
r	0.48	0	1	4	4	4	S
r	0.48	0	2	0	0	0	S
a	0.48	48	1	4	1	2	S
-	0.48	48	1	4	1	2	S
a	0.48	48	2	0	2	1	S
-	0.48	48	2	0	2	1	S
+	0.485	48	1	4	2	4	S
+	0.485	48	2	0	1	3	S
-	0.485	48	2	0	1	3	S
-	0.485	48	1	4	2	4	S
-	0.485	0	2	0	3	0	S
+	0.49	0	2	0	3	0	S
r	0.49	0	1	4	4	4	S
r	0.49	0	2	0	0	0	S
a	0.49	49	1	4	1	2	S
-	0.49	49	1	4	1	2	S
a	0.49	49	2	0	2	1	S
-	0.49	49	2	0	2	1	S
+	0.495	49	1	4	2	4	S
+	0.495	49	2	0	1	3	S
-	0.495	49	2	0	1	3	S
-	0.495	49	1	4	2	4	S
-	0.495	0	2	0	3	0	S
+	0.5	0	2	0	3	0	S
r	0.5	0	1	4	4	4	S
r	0.5	0	2	0	0	0	S
a	0.5	50	1	4	1	2	S
-	0.5	50	1	4	1	2	S
a	0.5	50	2	0	2	1	S
-	0.5	50	2	0	2	1	S
+	0.505	50	1	4	2	4	S
+	0.505	50	2	0	1	3	S
-	0.505	50	2	0	1	3	S
-	0.505	50	1	4	2	4	S
-	0.505	0	2	0	3	0	S
+	0.51	0	2	0	3	0	S
r	0.51	0	1	4	4	4	S
r	0.51	0	2	0	0	0	S
a	0.51	51	1	4	1	2	S
-	0.51	51	1	4	1	2	S
a	0.51	51	2	0	2	1	S
-	0.51	51	2	0	2	1	S
+	0.515	51	1	4	2	4	S
+	0.515	51	2	0	1	3	S
-	0.515	51	2	0	1	3	S
-	0.515	51	1	4	2	4	S
-	0.515	0	2	0	3	0	S
+	0.52	0	2	0	3	0	S
r	0.52	0	1	4	4	4	S
r	0.52	0	2	0	0	0	S
a	0.52	52	1	4	1	2	S
-	0.52	52	1	4	1	2	S
a	0.52	52	2	0	2	1	S
-	0.52	52	2	0	2	1	S
+	0.525	52	1	4	2	4	S
+	0.525	52	2	0	1	3	S
-	0.525	52	2	0	1	3	S
-	0.525	52	1	4	2	4	S
-	0.525	0	2	0	3	0	S
+	0.53	0	2	0	3	0	S
r	0.53	0	1	4	4	4	S
r	0.53	0	2	0	0	0	S
a	0.53	53	1	4	1	2	S
-	0.53	53	1	4	1	2	S
a	0.53	53	2	0	2	1	S
-	0.53	53	2	0	2	1	S
+	0.535	53	1	4	2	4	S
+	0.535	53	2	0	1	3	S
-	0.535	53	2	0	1	3	S
-	0.535	53	1	4	2	4	S
-	0.535	0	2	0	3	0	S
+	0.54	0	2	0	3	0	S
r	0.54	0	1	4	4	4	S
r	0.54	0	2	0	0	0	S
a	0.54	54	1	4	1	2	S
-	0.54	54	1	4	1	2	S
a	0.54	54	2	0	2	1	S
-	0.54	54	2	0	2	1	S
+	0.545	54	1	4	2	4	S
+	0.545	54	2	0	1	3	S
-	0.545	54	2	0	1	3	S
-	0.545	54	1	4	2	4	S
-	0.545	0	2	0	3	0	S
+	0.55	0	2	0	3	0	S
r	0.55	0	1	4	4	4	S
r	0.55	0	2	0	0	0	S
a	0.55	55	1	4	1	2	S
-	0.55	55	1	4	1	2	S
a	0.55	55	2	0	2	1	S
-	0.55	55	2	0	2	1	S
+	0.555	55	1	4	2	4	S
+	0.555	55	2	0	1	3	S
-	0.555	55	2	0	1	3	S
-	0.555	55	1	4	2	4	S
-	0.555	0	2	0	3	0	S
+	0.56	0	2	0	3	0	S
r	0.56	0	1	4	4	4	S
r	0.56	0	2	0	0	0	S
a	0.56	56	1	4	1	2	S
-	0.56	56	1	4	1	2	S
a	0.56	56	2	0	2	1	S
-	0.56	56	2	0	2	1	S
+	0.565	56	1	4	2	4	S
+	0.565	56	2	0	1	3	S
-	0.565	56	2	0	1	3	S
-	0.565	56	1	4	2	4	S
-	0.565	0	2	0	3	0	S
+	0.57	0	2	0	3	0	S
r	0.57	0	1	4	4	4	S
r	0.57	0	2	0	0	0	S
a	0.57	57	1	4	1	2	S
-	0.57	57	1	4	1	2	S
a	0.57	57	2	0	2	1	S
-	0.57	57	2	0	2	1	S
+	0.575	57	1	4	2	4	S
+	0.575	57	2	0	1	3	S
-	0.575	57	2	0	1	3	S
-	0.575	57	1	4	2	4	S
-	0.575	0	2	0	3	0	S
+	0.58	0	2	0	3	0	S
r	0.58	0	1	4	4	4	S
r	0.58	0	2	0	0	0	S
a	0.58	58	1	4	1	2	S
-	0.58	58	1	4	1	2	S
a	0.58	58	2	0	2	1	S
-	0.58	58	2	0	2	1	S
+	0.585	58	1	4	2	4	S
+	0.585	58	2	0	1	3	S
-	0.585	58	2	0	1	3	S
-	0.585	58	1	4	2	4	S
-	0.585	0	2	0	3	0	S
+	0.59	0	2	0	3	0	S
r	0.59	0	1	4	4	4	S
r	0.59	0	2	0	0	0	S
a	0.59	59	1	4	1	2	S
-	0.59	59	1	4	1	2	S
a	0.59	59	2	0	2	1	S
-	0.59	59	2	0	2	1	S
+	0.595	59	1	4	2	4	S
+	0.595	59	2	0	1	3	S
-	0.595	59	2	0	1	3	S
-	0.595	59	1	4	2	4	S
-	0.595	0	2	0	3	0	S
+	0.6	0	2	0	3	0	S
r	0.6	0	1	4	4	4	S
r	0.6	0	2	0	0	0	S
a	0.6	60	1	4	1	2	S
-	0.6	60	1	4	1	2	S
a	0.6	60	2	0	2	1	S
-	0.6	60	2	0	2	1	S
+	0.605	60	1	4	2	4	S
+	0.605	60	2	0	1	3	S
-	0.605	60	2	0	1	3	S
-	0.605	60	1	4	2	4	S
-	0.605	0	2	0	3	0	S
+	0.61	0	2	0	3	0	S
r	0.61	0	1	4	4	4	S
r	0.61	0	2	0	0	0	S
a	0.61	61	1	4	1	2	S
-	0.61	61	1	4	1	2	S
a	0.61	61	2	0	2	1	S
-	0.61	61	2	0	2	1	S
+	0.615	61	1	4	2	4	S
+	0.615	61	2	0	1	3	S
-	0.615	61	2	0	1	3	S
-	0.615	61	1	4	2	4	S
-	0.615	0	2	0	3	0	S
+	0.62	0	2	0	3	0	S
r	0.62	0	1	4	4	4	S
r	0.62	0	2	0	0	0	S
a	0.62	62	1	4	1	2	S
-	0.62	62	1	4	1	2	S
a	0.62	62	2	0	2	1	S
-	0.62	62	2	0	2	1	S
+	0.625	62	1	4	2	4	S
+	0.625	62	2	0	1	3	S
-	0.625	62	2	0	1	3	S
-	0.625	62	1	4	2	4	S
-	0.625	0	2	0	3	0	S
+	0.63	0	2	0	3	0	S
r	0.63	0	1	4	4	4	S
r	0.63	0	2	0	0	0	S
a	0.63	63	1	4	1	2	S
-	0.63	63	1	4	1	2	S
a	0.63	63	2	0	2	1	S
-	0.63	63	2	0	2	1	S
+	0.635	63	1	4	2	4	S
+	0.635	63	2	0	1	3	S
-	0.635	63	2	0	1	3	S
-	0.635	63	1	4	2	4	S
-	0.635	0	2	0	3	0	S
+	0.64	0	2	0	3	0	S
r	0.64	0	1	4	4	4	S
r	0.64	0	2	0	0	0	S
a	0.64	64	1	4	1	2	S
-	0.64	64	1	4	1	2	S
a	0.64	64	2	0	2	1	S
-	0.64	64	2	0	2	1	S
+	0.645	64	1	4	2	4	S
+	0.645	64	2	0	1	3	S
-	0.645	64	2	0	1	3	S
-	0.645	64	1	4	2	4	S
-	0.645	0	2	0	3	0	S
+	0.65	0	2	0	3	0	S
r	0.65	0	1	4	4	4	S
r	0.65	0	2	0	0	0	S
a	0.65	65	1	4	1	2	S
-	0.65	65	1	4	1	2	S
a	0.65	65	2	0	2	1	S
